metric,country,year,value
Exports,United States,Nov 2025/26,44497.0
Exports,Argentina,Nov 2025/26,8250.0
Exports,Paraguay,Nov 2025/26,7700.0
Exports,Canada,Nov 2025/26,5100.0
Exports,Other,Nov 2025/26,9924.0
Exports,Total,Nov 2025/26,187971.0
Crush,China,Nov 2025/26,108000.0
Crush,United States,Nov 2025/26,69536.0
Crush,Brazil,Nov 2025/26,59000.0
Crush,Argentina,Nov 2025/26,41000.0
Crush,European Union,Nov 2025/26,15300.0
Crush,India,Nov 2025/26,9050.0
Crush,Mexico,Nov 2025/26,6800.0
Crush,Russia,Nov 2025/26,6300.0
Crush,Egypt,Nov 2025/26,4700.0
Crush,Bolivia,Nov 2025/26,3100.0
Crush,Paraguay,Nov 2025/26,3100.0
Crush,Iran,Nov 2025/26,3000.0
Crush,Thailand,Nov 2025/26,3000.0
Crush,Ukraine,Nov 2025/26,2900.0
Crush,Turkey,Nov 2025/26,2800.0
Crush,Other,Nov 2025/26,27393.0
Crush,Total,Nov 2025/26,364979.0
Ending Stocks,China,Nov 2025/26,44388.0
Ending Stocks,Brazil,Nov 2025/26,36361.0
Ending Stocks,Argentina,Nov 2025/26,22852.0
Ending Stocks,United States,Nov 2025/26,7885.0
Ending Stocks,European Union,Nov 2025/26,1508.0
Ending Stocks,Other,Nov 2025/26,8997.0
Ending Stocks,Total,Nov 2025/26,121991.0
